year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1992,TX1016100,2,0,0,0,2,0,0,0,22,1,0,0,7,0,11,1,4,0
1993,TX1016100,0,0,0,0,0,0,0,0,33,3,0,0,11,2,22,1,0,0
1994,TX1016100,1,0,0,0,0,0,1,0,31,0,0,0,8,0,22,0,1,0
1995,TX1016100,1,0,0,0,1,0,0,0,24,0,0,0,2,0,22,0,0,0
1996,TX1016100,0,0,0,0,0,0,0,0,17,1,0,0,0,0,17,1,0,0
1997,TX1016100,0,0,0,0,0,0,0,0,16,0,0,0,3,0,13,0,0,0
1998,TX1016100,0,0,0,0,0,0,0,0,21,0,0,0,2,0,19,0,0,0
1999,TX1016100,0,0,0,0,0,0,0,0,25,0,0,0,4,0,21,0,0,0
2000,TX1016100,0,0,0,0,0,0,0,0,20,0,0,0,1,0,18,0,1,0
2001,TX1016100,1,0,0,0,1,0,0,0,13,0,0,0,0,0,13,0,0,0
2002,TX1016100,1,0,0,0,1,0,0,0,8,0,0,0,1,0,7,0,0,0
2003,TX1016100,0,0,0,0,0,0,0,0,15,7,0,0,3,3,12,4,0,0
2004,TX1016100,1,1,0,0,0,0,1,1,12,0,0,0,1,0,10,0,1,0
2005,TX1016100,1,1,0,0,0,0,1,1,16,2,0,0,8,0,8,2,0,0
2006,TX1016100,0,0,0,0,0,0,0,0,17,2,0,0,7,1,9,1,1,0
2007,TX1016100,1,1,0,0,0,0,1,1,14,1,0,0,1,0,13,1,0,0
2008,TX1016100,0,0,0,0,0,0,0,0,18,0,0,0,2,0,16,0,0,0
2009,TX1016100,0,0,0,0,0,0,0,0,25,4,0,0,5,3,20,1,0,0
2010,TX1016100,0,0,0,0,0,0,0,0,31,0,0,0,16,0,15,0,0,0
2011,TX1016100,0,0,0,0,0,0,0,0,41,3,0,0,17,0,24,3,0,0
2012,TX1016100,0,0,0,0,0,0,0,0,21,1,0,0,15,0,6,1,0,0
2013,TX1016100,1,0,0,0,1,0,0,0,39,0,0,0,3,0,29,0,7,0
2015,TX1016100,3,0,0,0,1,0,1,0,45,0,0,0,13,0,32,0,0,0
2016,TX1016100,5,1,0,0,2,1,1,0,76,3,3,1,16,1,58,1,2,1
2017,TX1016100,2,0,0,0,2,0,0,0,40,0,0,0,11,0,28,0,1,0
2018,TX1016100,1,0,0,0,1,0,0,0,40,1,0,0,23,0,16,1,1,0
