year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,ILCPD0000,58446,0,666,0,26892,0,29096,0,218814,0,2026,0,52658,0,121264,0,44892,0
1986,ILCPD0000,65191,25474,744,369,30918,5010,33529,20095,226536,36766,2625,0,56274,6025,121751,26434,48511,4307
1987,ILCPD0000,64674,4561,687,77,29815,924,34172,3560,209718,5937,2804,0,50931,882,119072,4356,39715,699
1988,ILCPD0000,65623,0,660,0,28975,0,35988,0,225656,0,2891,0,52060,0,128584,0,45012,0
1989,ILCPD0000,69945,0,742,0,31588,0,37615,0,227631,0,2558,0,51580,0,130153,0,45898,0
1990,ILCPD0000,79121,26082,851,290,37156,5486,41114,20306,228829,36632,2656,0,50203,4789,130000,26187,48626,5656
1991,ILCPD0000,86945,0,925,0,43783,0,42237,0,231318,0,2069,0,52234,0,131688,0,47396,0
1992,ILCPD0000,80467,28303,939,187,38448,5641,41080,22475,213731,40333,1852,0,49046,5044,119697,29494,44988,5795
1993,ILCPD0000,75787,25507,845,366,35189,4599,39753,20542,207422,37358,1676,0,45670,4233,121314,27641,40438,5484
1994,ILCPD0000,75233,25982,928,0,33925,5071,40380,20911,205001,37588,1626,0,43821,3891,121164,28026,40016,5671
1995,ILCPD0000,70115,0,824,0,30086,0,39205,0,197923,0,1241,0,40239,0,121487,0,36197,0
1996,ILCPD0000,64746,0,789,0,26860,0,37097,0,194058,0,1560,0,40475,0,119492,0,34091,0
1997,ILCPD0000,62565,0,757,0,25289,0,36519,0,193848,0,1544,0,40632,0,119609,0,33607,0
1998,ILCPD0000,59930,0,703,0,23117,0,36110,0,189372,0,1289,0,36009,0,121537,0,31826,0
1999,ILCPD0000,48878,0,641,0,20210,0,28027,0,178651,0,1267,0,30122,0,112454,0,36075,0
2000,ILCPD0000,46521,0,631,0,19345,0,26545,0,164181,0,1062,0,28327,0,106127,0,29727,0
2001,ILCPD0000,44632,0,666,0,18433,0,25533,0,151156,0,1004,0,25966,0,97496,0,27694,0
2002,ILCPD0000,44022,0,648,0,18532,0,24842,0,147177,0,1022,0,25552,0,96380,0,25245,0
2003,ILCPD0000,37684,0,598,0,17302,0,19784,0,144622,0,947,0,25064,0,96779,0,22779,0
2004,ILCPD0000,35106,0,448,0,15912,0,18746,0,140602,0,782,0,24428,0,93375,0,22799,0
2005,ILCPD0000,34355,0,448,0,15964,0,17943,0,131183,0,682,0,25314,0,83373,0,22496,0
2006,ILCPD0000,33776,0,468,0,15863,0,17445,0,129718,0,712,0,24153,0,83737,0,21828,0
2007,ILCPD0000,33292,0,443,0,15425,0,17424,0,126298,0,700,0,24752,0,82942,0,18604,0
2008,ILCPD0000,34195,0,510,0,16653,0,17032,0,131053,0,637,0,26041,0,86043,0,18969,0
2009,ILCPD0000,32062,0,458,0,15877,0,15727,0,120407,0,610,0,26494,0,78444,0,15469,0
2010,ILCPD0000,28402,0,432,0,14213,0,13757,0,120045,0,0,0,26203,0,74764,0,19078,0
2011,ILCPD0000,26814,0,431,0,13975,0,12408,0,118239,0,0,0,26420,0,72373,0,19446,0
2012,ILCPD0000,26248,0,500,0,13476,0,12272,0,112466,0,0,0,22748,0,72717,0,17001,0
2013,ILCPD0000,25688,0,416,0,11826,0,12108,0,97476,0,431,0,17875,0,66918,0,12683,0
2014,ILCPD0000,24133,0,415,0,9800,0,12530,0,85351,0,461,0,14554,0,60800,0,9997,0
2015,ILCPD0000,24698,0,481,0,9641,0,13094,0,80505,0,536,0,13169,0,57136,0,10200,0
2016,ILCPD0000,30193,0,768,0,11960,0,15803,0,87136,0,587,0,14273,0,61427,0,11436,0
2017,ILCPD0000,29737,0,653,0,11887,0,15435,0,88324,0,514,0,12912,0,63834,0,11578,0
2018,ILCPD0000,27420,0,567,0,9681,0,15315,0,86822,0,0,0,11725,0,64982,0,10115,0
