year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,TX2300300,8,4,0,0,0,0,7,3,17,10,0,0,13,8,2,2,2,0
1986,TX2300300,3,3,0,0,0,0,3,3,34,19,0,0,11,5,21,12,2,2
1987,TX2300300,13,13,1,1,0,0,12,12,36,14,1,0,9,4,25,7,2,3
1988,TX2300300,6,6,0,0,0,0,6,6,23,11,0,0,7,5,15,5,1,1
1989,TX2300300,4,4,0,0,0,0,4,4,24,10,1,0,6,3,15,4,3,3
1990,TX2300300,3,1,0,0,0,0,3,1,17,5,0,0,9,1,5,2,3,2
1991,TX2300300,2,2,0,0,0,0,2,2,17,10,2,0,10,7,5,2,2,1
1992,TX2300300,4,3,0,0,0,0,4,3,10,3,0,0,3,1,7,2,0,0
1993,TX2300300,3,3,0,0,0,0,3,3,18,12,0,0,4,0,13,12,1,0
1994,TX2300300,6,6,0,0,0,0,6,6,12,4,0,0,2,0,9,4,1,0
1995,TX2300300,6,6,0,0,0,0,6,6,18,13,0,0,7,7,10,5,1,1
1996,TX2300300,3,3,0,0,0,0,3,3,31,18,0,0,6,4,25,14,0,0
1997,TX2300300,4,4,0,0,0,0,4,4,17,10,0,0,2,0,12,8,3,2
1998,TX2300300,0,0,0,0,0,0,0,0,9,2,0,0,8,2,1,0,0,0
1999,TX2300300,1,1,0,0,0,0,1,1,3,0,0,0,0,0,2,0,1,0
2000,TX2300300,4,3,0,0,0,0,4,3,33,9,0,0,8,0,23,7,2,2
