year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared,violent_crime_actual,violent_crime_cleared
1986,IL0901900,0,0,0,0,0,0,0,0,3,0,1,1,4,1,0,0,0,0
1987,IL0901900,0,0,0,0,2,1,0,0,2,0,0,0,4,1,0,0,0,0
1988,IL0901900,1,1,0,0,3,1,0,0,2,1,0,0,5,2,0,0,1,1
1989,IL0901900,2,2,0,0,1,0,0,0,1,0,0,0,2,0,0,0,2,2
1990,IL0901900,0,0,0,0,0,0,0,0,10,3,2,1,12,4,0,0,0,0
1991,IL0901900,0,0,0,0,0,0,0,0,4,0,1,1,5,1,0,0,0,0
1992,IL0901900,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2011,IL0901900,1,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,1,0
2012,IL0901900,1,0,1,0,2,0,0,0,29,0,0,0,31,0,0,0,1,0
2013,IL0901900,0,0,0,0,2,0,0,0,8,0,0,0,10,0,0,0,0,0
2014,IL0901900,0,0,0,0,4,0,0,0,8,0,1,0,13,0,0,0,0,0
2015,IL0901900,0,0,0,0,2,0,0,0,5,0,2,0,9,0,0,0,0,0
2016,IL0901900,0,0,0,0,1,0,0,0,5,0,0,0,6,0,1,0,1,0
2017,IL0901900,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0
2018,IL0901900,1,0,0,0,9,0,0,0,4,0,0,0,13,0,1,0,3,0
